m,x,y,z,vx,vy,vz,u,h,rho
1,0.125,0.875,0.875,0.00000000000000000000017347234759767966,0.0000000000000000000000000000000000005777789833161708,0.0000000000000000000000000000000000005777789833161708,0.0000000006976827627313262,0.049971836697274404,1
1,0.1250000001088267,0.9250000003200147,0.9250000003200147,0.00000032538724274693057,0.0000009583356514858632,0.0000009583356514858632,-0.0000000013132353967592283,0.049971836697274404,1
1,0.12499999989117329,0.9749999996799853,0.9749999996799853,-0.00000032538724274695207,-0.0000009583356514858639,-0.0000009583356514858639,-0.0000000001413155422260021,0.04997670065397115,1
1,0.1749999998911733,0.024999999679985344,0.024999999679985344,-0.00000032538724274691697,-0.000000958335651485854,-0.000000958335651485854,0.0000000011996606776733832,0.04997670065397115,1
1,0.1750000001088267,0.07500000032001466,0.07500000032001466,0.0000003253872427469171,0.000000958335651485855,0.000000958335651485855,-0.0000000005334225053244644,0.049971836697274404,1
1,0.175,0.125,0.125,0.0000000000000000000037296554733501345,0.000000000000000000009280770596475916,0.000000000000000000009280770596475916,-0.00000000008213012870341388,0.049971836697274404,1
1,0.175,0.175,0.175,-0.000000000000000000005204170427930423,-0.000000000000000000002255140518769847,-0.000000000000000000002255140518769847,-0.0000000000000000000000042274135376179904,0.049971836697274404,1
1,0.175,0.225,0.225,-0.000000000000000000006418476861114188,-0.000000000000000000007112366251504911,-0.000000000000000000007112366251504911,0.000000000000000000000017982730516481697,0.049971836697274404,1
1,0.175,0.275,0.275,-0.000000000000000000000000000000000001516387712560751,0.00000000000000000000017347234759768342,0.00000000000000000000017347234759768342,0.0000000000000000000000057287595574752145,0.049971836697274404,1
1,0.175,0.325,0.325,0.000000000000000000004640385298237957,0.000000000000000000009844555726168378,0.000000000000000000009844555726168378,-0.000000000000000000000014960894002797192,0.049971836697274404,1
1,0.175,0.375,0.375,0.0000000000000000000006071532165918815,-0.000000000000000000005898059818321144,-0.000000000000000000005898059818321144,0.0000000000000000000000009951906147674383,0.049971836697274404,1
1,0.175,0.42500000000000004,0.42500000000000004,-0.000000000000000000007329206686002012,-0.0000000000000000000060281640790194035,-0.0000000000000000000060281640790194035,0.000000000000000000000045194256799820066,0.049971836697274404,1
1,0.175,0.47500000000000003,0.47500000000000003,0.0000000000000000000051608023410309985,0.000000000000000000011926223897340546,0.000000000000000000011926223897340546,-0.000000000000000000000015936666353367668,0.049971836697274404,1
1,0.175,0.525,0.525,-0.00000000000000000000008673617379884077,-0.000000000000000000007546047120499112,-0.000000000000000000007546047120499112,0.000000000000000000000005394832212919193,0.049971836697274404,1
1,0.175,0.5750000000000001,0.5750000000000001,-0.0000000000000000000034260788650541936,0.0000000000000000000023852447794681115,0.0000000000000000000023852447794681115,-0.0000000000000000000000007320267686801419,0.049971836697274404,1
1,0.175,0.625,0.625,-0.000000000000000000004510281037539698,0.0000000000000000000000000000000000003851859888774472,0.0000000000000000000000000000000000003851859888774472,-0.0000000000000000000000001743355363290227,0.049971836697274404,1
1,0.175,0.675,0.675,-0.000000000000000000004510281037539698,-0.0000000000000000000000000000000000003851859888774472,-0.0000000000000000000000000000000000003851859888774472,0.0000000000000000000000046000439633358494,0.049971836697274404,1
